nombre,enlace,pueblo,estrellas,imagen,descripcion
HOTELES,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/gran-hotel-miramar-resort-spa-gl-p104033,Málaga,5,https://static.visita.malaga.eu/visita/subidas/imagenes/5/3/arc_40135_m.jpg,"Gran Hotel Miramar es el primer hotel Gran Lujo (GL) construido en la antigua ciudad andaluza de Málaga, parte de la cadena hotelera Hoteles Santos. Miembro de The Leading Hotels of the World, así..."
Gran Hotel Miramar Resort & Spa GL*****,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/hotel-soho-boutique-castillo-santa-catalina-adults-recommended-p103502,Málaga,5,https://static.visita.malaga.eu/visita/subidas/imagenes/1/3/arc_27631_m.jpg,"El Castillo de Santa Catalina, el Hotel de Málaga de 5*, es uno de los lugares más emblemáticos de la capital de la Costa del Sol, un Palacio de estilo arquitectónico inspirado en el Renacimiento..."
Hotel Soho Boutique Castillo Santa Catalina - Adults Recommended,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/me-malaga-p109688,Málaga,5,https://static.visita.malaga.eu/visita/subidas/imagenes/9/5/arc_40559_m.jpg,"ME Málaga abre sus puertas como un espacio donde arte, cultura y gastronomía se fusionan con la energía creativa de la ciudad. Ubicado junto a la Plaza de la Merced, el hotel ofrece una propuesta..."
ME Málaga,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/only-you-hotel-malaga-p104716,Málaga,5,https://static.visita.malaga.eu/visita/subidas/imagenes/5/3/arc_29635_m.jpg,"Ubicado en uno de los edificios más emblemáticos del centro de la ciudad, La Equitativa, frente al puerto y justo al comienzo de la popular calle Marqués de Larios, Only YOU se sitúa en un enclave..."
Only YOU Hotel Málaga,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/vincci-seleccion-posada-del-patio-p103523,Málaga,5,https://static.visita.malaga.eu/visita/subidas/imagenes/0/5/arc_27650_m.jpg,"La historia de Málaga a tus pies, servicios 5 estrellas y el ambiente más exclusivo. Ven a vivir la magia del Vincci Selección Posada del Patio , un incomparable hotel en el centro histórico de..."
Vincci Selección Posada del Patio,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/hotel-well-and-come-malaga-p108661,Málaga,4,https://static.visita.malaga.eu/visita/subidas/imagenes/1/0/arc_38901_m.jpg,"El Hotel Well and Come Málaga **** está en el corazón de Málaga, a 17 min a pie de Playa de La Malagueta. Dispone de servicio de conserjería, habitaciones libres de humo, una hermosa roof top con..."
Hotel Well and Come Málaga,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/ac-malaga-palacio-by-marriot-p103384,Málaga,4,https://static.visita.malaga.eu/visita/subidas/imagenes/5/2/arc_27525_m.jpg,"203 habitaciones y 11 suites. Habitaciones con: teléfono, minibar, TV-radio-música, aire acondicionado-calefacción, caja fuerte y antena parabólica. Piscina en la terraza. Salas de convenciones..."
AC Málaga Palacio By Marriot,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/anahita-p104328,Málaga,4,https://static.visita.malaga.eu/visita/subidas/imagenes/6/1/arc_29116_v2_m.jpg,"Hotel de 4 estrellas situado a 1km de la Playa de la Malagueta. Cuenta con servicio de bar restaurante, recepción las 24 horas, servicio de habitaciones y red WiFi gratuita en todas las..."
Anahita,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/barcelo-malaga-p103413,Málaga,4,https://static.visita.malaga.eu/visita/subidas/imagenes/4/5/arc_27554_m.jpg,205 habitaciones dobles y 16 suites. Situado en el centro de la ciudad junto a la Estación Vialia María Zambrano. Salones de convenciones con 16 salas totalmente equipadas y 1 salón de pleno con...
Barceló Málaga,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/catalonia-malaga-p103516,Málaga,4,https://static.visita.malaga.eu/visita/subidas/imagenes/8/9/arc_37898_m.jpg,"Sofisticación, confort y armonía en un enclave único.Ésta es la propuesta de Catalonia Málaga , un exclusivo y elegante hotel que combina la modernidad de un hotel urbano con la calidez de un..."
Catalonia Málaga,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/catalonia-molina-lario-p103364,Málaga,4,https://static.visita.malaga.eu/visita/subidas/imagenes/6/0/arc_27506_m.jpg,"Situado frente a la Catedral, en pleno centro histórico y a escasos metros del Puerto y del Museo Picasso, Molina Lario es un hotel boutique de 103 habitaciones totalmente renovadas en 2018 que..."
Catalonia Molina Lario,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/cortijo-la-reina-p105006,Málaga,4,https://static.visita.malaga.eu/visita/subidas/imagenes/4/9/arc_30294_m.png,"El Hotel Cortijo La Reina se encuentra junto al parque Natural de los Montes de Málaga, asentado en un jardín con árboles centenarios. Situado a 800 metros de altura, donde se puede contemplar sus..."
Cortijo La Reina,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/eurostars-malaga-p103411,Málaga,4,https://static.visita.malaga.eu/visita/subidas/imagenes/1/9/arc_30991_m.jpg,"Inspiración mediterránea y carácter andaluz. El hotel Eurostars Málaga representa un concepto de alojamiento innovador, con prestaciones y espacios donde prima el confort de cada huésped. La..."
Eurostars Málaga,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/guadalmedina-p103511,Málaga,4,https://static.visita.malaga.eu/visita/subidas/imagenes/8/1/arc_29418_m.jpg,"El Hotel Guadalmedina es un moderno y confortable hotel ciudad de 4*.Especialmente indicado para sus estancias en la ciudad dada su situación privilegiada en el centro comercial, histórico y..."
Guadalmedina,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/h10-croma-malaga-p105244,Málaga,4,https://static.visita.malaga.eu/visita/subidas/imagenes/0/2/arc_33120_m.jpg,"Situado en una zona privilegiada en pleno centro de Málaga y con acceso a los principales puntos de interés de la ciudad, el H10 Croma Málaga es un hotel de nueva construcción que ha abierto sus..."
H10 Croma Málaga,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/hilton-garden-inn-malaga-p104002,Málaga,4,https://static.visita.malaga.eu/visita/subidas/imagenes/9/8/arc_28089_m.jpg,"Dispone 155 habitaciones, donde 150 de ellas son simples, 4 están acondicionadas para ofrecer una mejor accesibilidad y 1 suite. Cuenta con 300 metros cuadrados de espacios funcionales destinados a..."
Hilton Garden Inn Málaga,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/hotel-larios-malaga-p103383,Málaga,4,https://static.visita.malaga.eu/visita/subidas/imagenes/9/1/arc_29119_m.jpg,"34 habitaciones dobles y 6 Junior Suites. Habitaciones con: teléfono, minibar, TV-radio-música, aire acondicionado-calefacción, caja fuerte y antena parabólica. Cafetería - restaurante. Bar -..."
Hotel Larios Málaga,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/hotel-malaga-alameda-centro-affiliated-by-melia-p104810,Málaga,4,https://static.visita.malaga.eu/visita/subidas/imagenes/7/8/arc_29787_m.png,"En pleno centro comercial, a 15 minutos del centro histórico de la ciudad y la playa. Wifi gratuito, magnífico desayuno, gimnasio 24 horas al día 7 días a la semana, habitaciones Premium y Family..."
Hotel Málaga Alameda Centro Affiliated by Melia,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/icon-malabar-p104335,Málaga,4,https://static.visita.malaga.eu/visita/subidas/imagenes/2/7/arc_33372_m.jpg,"El nuevo hotel ICON Malabar está ubicado en la zona de moda de Málaga, el SOHO. Estamos a 10 minutos andando de la estación del AVE, a una manzana del recién estrenado teatro de Antonio Bandera y a..."
ICON Malabar,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/ilunion-malaga-p103423,Málaga,4,https://static.visita.malaga.eu/visita/subidas/imagenes/4/6/arc_27564_m.jpg,"Nuestro hotel en Málaga, de 4 estrellas superior, está situado frente al mar a escasos metros de la playa y cercano al Museo Picasso y estación del AVE. Tiene 179 habitaciones, la mayoría con..."
Ilunion Málaga,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/mariposa-p103719,Málaga,4,https://static.visita.malaga.eu/visita/subidas/imagenes/7/3/arc_27837_m.jpg,"El Hotel Mariposa está situado en el corazón del barrio cultural Soho, un gran punto de partida céntrico para descubrir la gran ciudad de Málaga."
HOTELES,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/ms-maestranza-p103422,Málaga,4,https://static.visita.malaga.eu/visita/subidas/imagenes/3/6/arc_27563_m.jpg,"El MS Maestranza Málaga está situado en el centro de Málaga, a sólo 100 metros de la playa de la Malagueta. Dispone de una azotea provista de terraza y bañera de hidromasaje con vistas panorámicas..."
MS Maestranza,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/nh-malaga-p103385,Málaga,4,https://static.visita.malaga.eu/visita/subidas/imagenes/2/8/arc_39382_m.jpg,"El hotel NH Málaga, completamente renovado en 2019, se encuentra en pleno centro de Málaga, a pocos pasos de las tiendas, restaurantes y zonas turísticas de la ciudad. Se trata de un edificio..."
NH Málaga,https://visita.malaga.eu/es/planifica/donde-dormir/hoteles/palacete-de-alamos-p104080,Málaga,4,https://static.visita.malaga.eu/visita/subidas/imagenes/0/5/arc_28150_m.jpg,"A 200 metros de la Fundación Pablo Ruiz Picasso y a 400 metros de la Alcazaba, este maravilloso hotel ofrece habitaciones con bañeras dobles de hidromasaje. Todas las  habitaciones están equipadas..."
